snapshot,path,raw_chars,visible_chars,compressed_visible_chars,compressed_visible_comment_chars,raw_tokens,visible_tokens,compressed_visible_tokens
001,001,1037584,422451,48449,16462,454065,176252,21989
002,002,1379352,212945,8420,1514,534947,71979,2177
003,003,299934,132676,4692,1305,123442,54549,1935
004,004,2757291,2353194,113962,34218,1169601,1028594,28547
005,005,1390986,209053,9369,1837,541124,72982,2393
006,006,1706162,1048870,20531,5161,737928,414357,5268
007,007,961055,791008,11382,2683,353586,280882,2963
008,008,1116804,695543,48126,15325,399197,239997,17348
009,009,916677,560125,42026,12843,331791,195171,15770
010,010,735180,341173,5930,976,248774,115219,1883
011,011,144920,60208,9835,1804,41089,18376,3311
012,012,430541,268775,24440,5124,138252,86227,6732
013,013,560973,518035,78933,13980,182663,170876,21253
014,014,612769,537157,90031,14956,204891,180069,27081
015,015,430511,268745,24440,5124,138244,86219,6732
016,016,1986259,469500,50049,11089,755231,178230,16484
017,017,1688552,720303,332518,27519,657615,275870,107851
018,018,681736,378643,43822,12334,240848,136456,14080
019,019,1272553,212741,42532,10204,422866,85449,14220
020,020,1019333,163403,37623,8260,354224,55302,12078
021,021,330568,138792,21588,4571,115848,47472,6188
022,022,88860,28540,10531,3810,30354,10481,2802
023,023,969431,441925,100550,21653,342343,155945,34121
024,024,415035,113868,20038,4496,146877,37771,5569
025,025,334086,48952,2733,471,130366,17591,789
026,026,489989,127811,23792,7012,151695,48931,8412
027,027,304530,80849,3251,520,84205,28289,1069
028,028,797003,444280,141117,40201,270482,170425,52635
029,029,470301,121764,22928,6796,147216,48528,8859
030,030,3023025,333409,94572,23564,988408,125709,27704
031,031,991618,438696,29485,8251,318996,155980,8298
032,032,2847375,412640,37190,12516,884145,164319,10467
033,033,4411456,488071,40645,12144,1338122,177592,10627
034,034,825167,254184,35111,9072,300079,109063,14164
035,035,263625,98048,6673,2161,101519,44476,2450
036,036,536379,217320,11893,3896,202804,90640,4200
037,037,268075,189117,5779,1742,100441,74017,2162
038,038,1136180,751027,16036,3778,529574,428744,4538
039,039,1567828,1120811,50429,12903,653478,534595,14179
040,040,1828427,1069111,71622,14824,708194,511326,19644
041,041,1353381,963517,34424,10051,592170,490815,9583
042,042,324926,188766,14242,4075,150268,89658,4365
043,043,415157,408077,6850,1361,177649,175079,2194
044,044,202435,200270,2716,915,75079,74199,804
045,045,319902,289292,26001,4622,118877,104264,8068
046,046,71629,22662,8763,2508,24300,7358,3051
047,047,152371,33143,10323,2657,58093,11351,3990
048,048,2866497,1034881,37133,12390,952177,380282,11206
049,049,2059404,679185,61934,9436,730821,279353,19697
050,050,2632244,1170929,32490,7972,892984,432422,9676
051,051,1500135,163060,8077,2024,462835,61504,2399
052,052,1001224,556118,10369,4632,351530,189790,4492
053,053,1173394,497050,5347,2356,407622,167034,2102
054,054,320474,127290,26231,10933,114605,46349,8370
055,055,241985,55892,17076,7464,86793,20614,5736
056,056,285971,99271,12914,5423,102888,36639,4378
057,057,306604,112307,37129,16175,110769,41555,11896
058,058,348252,244131,20957,4317,109695,76883,6493
059,059,528265,235043,54056,22259,166242,81132,17391
060,060,849379,564349,88530,18746,240987,158958,26831
061,061,933670,811262,30112,6154,290161,251036,8989
062,062,231689,164540,29132,9448,109774,76253,12672
063,063,163706,21212,3674,411,49122,7188,1017
064,064,166890,22907,4656,311,49797,7605,1240
065,065,81664,65806,1854,698,28330,23322,522
066,066,365184,337203,13533,2879,132342,121701,4296
067,067,148482,54076,2657,798,51957,17425,844
068,068,50097,46205,4682,661,18490,17291,1829
069,069,862112,707331,20366,6743,379916,336166,5707
070,070,92249,83098,4934,826,46334,43398,1333
071,071,751171,612923,32919,7385,261759,219328,8429
072,072,1541607,1026253,122652,50983,509680,335492,35631
073,073,1637299,863855,88864,16910,539392,273160,27369
074,074,1330809,688488,88749,26154,442537,228167,26775
075,075,1976213,856927,46938,16752,676789,265612,13199
