sample,baseline_ran,visible_tokens,fits_visible_budget,max_prompt_tokens,context_overflow,produced_edits,processable_ran_ok,processable_fits_context
001,True,,False,136573,False,True,True,
002,True,,False,142105,False,True,True,
003,True,,False,133889,False,True,True,
004,True,,False,124495,False,True,True,
005,True,,False,125139,False,True,True,
006,True,,False,127030,False,True,True,
007,True,,False,114745,False,True,True,
008,True,,False,107475,False,True,True,
009,True,,False,112946,False,True,True,
010,True,,False,107153,False,True,True,
011,True,,False,124280,False,True,True,
012,True,,False,108500,False,True,True,
013,True,,False,248541,False,True,True,
014,True,,False,249307,False,True,True,
015,True,,False,201710,False,True,True,
016,True,,False,221755,False,True,True,
017,True,,False,197367,False,True,True,
018,True,,False,201868,False,True,True,
019,True,,False,141897,False,True,True,
020,True,,False,143402,False,True,True,
021,True,,False,156239,False,True,True,
022,True,,False,40915,False,True,True,
023,True,,False,43706,False,True,True,
024,True,,False,44188,False,True,True,
025,True,,False,45018,False,True,True,
026,True,,False,49382,False,True,True,
027,True,,False,44986,False,True,True,
028,True,,False,128811,False,True,True,
029,True,,False,128936,False,True,True,
030,True,,False,126926,False,True,True,
031,True,,False,127590,False,True,True,
032,True,,False,34294,False,True,True,
033,True,,False,32351,False,True,True,
034,True,,False,32797,False,True,True,
035,True,,False,31625,False,True,True,
036,True,,False,40965,False,True,True,
037,True,,False,43637,False,True,True,
038,True,,False,50193,False,True,True,
039,True,,False,41322,False,True,True,
040,True,,False,44605,False,True,True,
041,True,,False,24167,False,True,True,
042,True,,False,30707,False,True,True,
043,True,,False,127005,False,True,True,
044,True,,False,141436,False,True,True,
045,True,,False,121299,False,True,True,
046,True,,False,147390,False,True,True,
047,True,,False,152877,False,True,True,
048,True,,False,148362,False,True,True,
049,True,,False,155302,False,True,True,
050,True,,False,22639,False,True,True,
051,True,,False,25359,False,True,True,
052,True,,False,25017,False,True,True,
053,True,,False,78602,False,True,True,
054,True,,False,77084,False,True,True,
055,True,,False,76853,False,True,True,
056,True,,False,76537,False,True,True,
057,True,,False,76272,False,True,True,
058,True,,False,36986,False,True,True,
059,True,,False,38113,False,True,True,
060,True,,False,38177,False,True,True,
061,True,,False,48740,False,True,True,
062,True,,False,80461,False,True,True,
063,True,,False,83576,False,True,True,
064,True,,False,91726,False,True,True,
065,True,,False,84677,False,True,True,
066,True,,False,10767,False,True,True,
067,True,,False,8255,False,True,True,
068,True,,False,7247,False,True,True,
