sample,folder,pipeline_id,elapsed_s,api_rounds
001,2-baseline,baseline,430.5,3
001,3-engine-only,engine-only,131.8,4
001,4-map-only,map-only,361.2,7
001,5-full,full,45.199999999999996,7
001,6-full-sonnet,full-sonnet,54.9,3
002,2-baseline,baseline,289.3,13
002,3-engine-only,engine-only,118.5,6
002,4-map-only,map-only,140.1,32
002,5-full,full,91.7,31
002,6-full-sonnet,full-sonnet,64.5,8
003,2-baseline,baseline,340.90000000000003,3
003,3-engine-only,engine-only,89.00000000000001,3
003,4-map-only,map-only,250.70000000000002,32
003,5-full,full,41.10000000000001,11
003,6-full-sonnet,full-sonnet,37.9,10
004,2-baseline,baseline,306.8,5
004,3-engine-only,engine-only,139.70000000000002,6
004,4-map-only,map-only,174.40000000000003,32
004,5-full,full,119.8,20
004,6-full-sonnet,full-sonnet,51.6,7
005,2-baseline,baseline,118.2,6
005,3-engine-only,engine-only,105.8,3
005,4-map-only,map-only,230.39999999999998,9
005,5-full,full,40.0,4
005,6-full-sonnet,full-sonnet,17.1,3
006,2-baseline,baseline,132.3,3
006,3-engine-only,engine-only,109.7,3
006,4-map-only,map-only,103.10000000000001,7
006,5-full,full,36.300000000000004,6
006,6-full-sonnet,full-sonnet,16.4,3
007,2-baseline,baseline,195.6,4
007,3-engine-only,engine-only,45.1,3
007,4-map-only,map-only,32.49999999999999,15
007,5-full,full,39.5,16
007,6-full-sonnet,full-sonnet,30.8,7
008,2-baseline,baseline,221.5,4
008,3-engine-only,engine-only,49.1,3
008,4-map-only,map-only,38.8,13
008,5-full,full,28.399999999999995,10
008,6-full-sonnet,full-sonnet,34.1,5
009,2-baseline,baseline,140.50000000000003,4
009,3-engine-only,engine-only,45.3,3
009,4-map-only,map-only,216.79999999999995,26
009,5-full,full,63.10000000000001,28
009,6-full-sonnet,full-sonnet,38.5,11
010,2-baseline,baseline,205.29999999999998,4
010,3-engine-only,engine-only,52.900000000000006,3
010,4-map-only,map-only,147.4,26
010,5-full,full,51.8,21
010,6-full-sonnet,full-sonnet,42.7,7
011,2-baseline,baseline,119.0,3
011,3-engine-only,engine-only,38.1,3
011,4-map-only,map-only,30.8,11
011,5-full,full,13.399999999999999,6
011,6-full-sonnet,full-sonnet,14.5,4
012,2-baseline,baseline,146.8,3
012,3-engine-only,engine-only,91.89999999999999,3
012,4-map-only,map-only,78.30000000000001,10
012,5-full,full,21.5,4
012,6-full-sonnet,full-sonnet,21.2,5
013,2-baseline,baseline,147.0,3
013,3-engine-only,engine-only,92.49999999999999,3
013,4-map-only,map-only,31.099999999999998,5
013,5-full,full,18.7,5
013,6-full-sonnet,full-sonnet,36.4,4
014,2-baseline,baseline,125.7,4
014,3-engine-only,engine-only,29.6,4
014,4-map-only,map-only,54.900000000000006,8
014,5-full,full,17.5,5
014,6-full-sonnet,full-sonnet,24.0,6
015,2-baseline,baseline,334.00000000000006,6
015,3-engine-only,engine-only,65.2,3
015,4-map-only,map-only,291.90000000000003,23
015,5-full,full,57.699999999999996,10
015,6-full-sonnet,full-sonnet,66.5,8
016,2-baseline,baseline,164.89999999999998,6
016,3-engine-only,engine-only,97.1,5
016,4-map-only,map-only,243.50000000000006,26
016,5-full,full,75.7,27
016,6-full-sonnet,full-sonnet,62.4,11
017,2-baseline,baseline,242.79999999999998,3
017,3-engine-only,engine-only,37.0,5
017,4-map-only,map-only,134.1,16
017,5-full,full,61.099999999999994,30
017,6-full-sonnet,full-sonnet,49.599999999999994,10
018,2-baseline,baseline,140.70000000000002,3
018,3-engine-only,engine-only,23.099999999999998,3
018,4-map-only,map-only,23.200000000000003,7
018,5-full,full,9.4,5
018,6-full-sonnet,full-sonnet,14.099999999999998,4
019,2-baseline,baseline,140.6,3
019,3-engine-only,engine-only,30.800000000000004,3
019,4-map-only,map-only,179.20000000000002,16
019,5-full,full,38.4,18
019,6-full-sonnet,full-sonnet,41.39999999999999,12
020,2-baseline,baseline,386.69999999999993,8
020,3-engine-only,engine-only,155.1,3
020,4-map-only,map-only,76.29999999999998,14
020,5-full,full,49.39999999999999,17
020,6-full-sonnet,full-sonnet,51.4,10
021,2-baseline,baseline,496.5,16
021,3-engine-only,engine-only,144.0,3
021,4-map-only,map-only,82.69999999999999,17
021,5-full,full,23.1,4
021,6-full-sonnet,full-sonnet,16.3,4
022,2-baseline,baseline,135.0,3
022,3-engine-only,engine-only,140.29999999999998,3
022,4-map-only,map-only,37.6,6
022,5-full,full,21.2,5
022,6-full-sonnet,full-sonnet,22.1,5
023,2-baseline,baseline,174.29999999999998,3
023,3-engine-only,engine-only,143.79999999999998,4
023,4-map-only,map-only,158.1,8
023,5-full,full,29.000000000000004,5
023,6-full-sonnet,full-sonnet,23.500000000000004,6
024,2-baseline,baseline,177.5,4
024,3-engine-only,engine-only,142.60000000000002,3
024,4-map-only,map-only,36.3,5
024,5-full,full,30.499999999999996,10
024,6-full-sonnet,full-sonnet,20.799999999999997,4
025,2-baseline,baseline,68.5,3
025,3-engine-only,engine-only,58.4,3
025,4-map-only,map-only,58.5,11
025,5-full,full,28.700000000000003,4
025,6-full-sonnet,full-sonnet,15.299999999999999,3
026,2-baseline,baseline,160.7,4
026,3-engine-only,engine-only,62.099999999999994,4
026,4-map-only,map-only,274.8,18
026,5-full,full,57.5,11
026,6-full-sonnet,full-sonnet,50.7,5
027,2-baseline,baseline,513.5999999999999,12
027,3-engine-only,engine-only,49.2,4
027,4-map-only,map-only,106.39999999999999,10
027,5-full,full,40.1,11
027,6-full-sonnet,full-sonnet,24.900000000000002,5
028,2-baseline,baseline,123.8,3
028,3-engine-only,engine-only,33.300000000000004,3
028,4-map-only,map-only,16.099999999999998,6
028,5-full,full,9.399999999999999,4
028,6-full-sonnet,full-sonnet,15.3,4
029,2-baseline,baseline,142.40000000000003,5
029,3-engine-only,engine-only,49.199999999999996,4
029,4-map-only,map-only,81.89999999999998,32
029,5-full,full,41.0,17
029,6-full-sonnet,full-sonnet,36.9,8
030,2-baseline,baseline,293.99999999999994,3
030,3-engine-only,engine-only,89.8,3
030,4-map-only,map-only,276.8,7
030,5-full,full,39.300000000000004,5
030,6-full-sonnet,full-sonnet,32.3,6
031,2-baseline,baseline,221.79999999999998,3
031,3-engine-only,engine-only,86.3,3
031,4-map-only,map-only,158.8,7
031,5-full,full,27.9,4
031,6-full-sonnet,full-sonnet,23.2,4
032,2-baseline,baseline,178.3,3
032,3-engine-only,engine-only,97.19999999999999,3
032,4-map-only,map-only,115.99999999999999,32
032,5-full,full,63.30000000000001,32
032,6-full-sonnet,full-sonnet,78.5,13
033,2-baseline,baseline,512.0,9
033,3-engine-only,engine-only,96.6,3
033,4-map-only,map-only,145.39999999999998,20
033,5-full,full,50.39999999999999,8
033,6-full-sonnet,full-sonnet,38.0,6
034,2-baseline,baseline,123.30000000000001,5
034,3-engine-only,engine-only,61.2,3
034,4-map-only,map-only,60.800000000000004,10
034,5-full,full,29.9,6
034,6-full-sonnet,full-sonnet,27.699999999999996,4
035,2-baseline,baseline,109.8,3
035,3-engine-only,engine-only,52.0,3
035,4-map-only,map-only,46.199999999999996,4
035,5-full,full,17.1,4
035,6-full-sonnet,full-sonnet,15.7,4
036,2-baseline,baseline,204.40000000000006,32
036,3-engine-only,engine-only,64.8,3
036,4-map-only,map-only,165.1,9
036,5-full,full,32.4,6
036,6-full-sonnet,full-sonnet,23.0,4
037,2-baseline,baseline,127.5,12
037,3-engine-only,engine-only,57.300000000000004,3
037,4-map-only,map-only,50.5,6
037,5-full,full,23.2,5
037,6-full-sonnet,full-sonnet,18.3,4
038,2-baseline,baseline,117.1,3
038,3-engine-only,engine-only,55.6,3
038,4-map-only,map-only,75.80000000000001,5
038,5-full,full,23.2,4
038,6-full-sonnet,full-sonnet,41.3,8
039,2-baseline,baseline,235.70000000000002,3
039,3-engine-only,engine-only,65.8,3
039,4-map-only,map-only,71.2,8
039,5-full,full,36.400000000000006,15
039,6-full-sonnet,full-sonnet,19.7,3
040,2-baseline,baseline,16.3,3
040,3-engine-only,engine-only,10.3,3
040,4-map-only,map-only,14.0,6
040,5-full,full,13.0,6
040,6-full-sonnet,full-sonnet,23.6,4
041,2-baseline,baseline,14.2,3
