sample_hex,left_pipeline,right_pipeline,rating,left_score,right_score
5846caf3,6-full-sonnet,1-original,similar,0,0
5846caf3,2-baseline,3-engine-only,left_better,1,0
5846caf3,4-map-only,5-full,left_better,1,0
5846caf3,3-engine-only,5-full,similar,0,0
5846caf3,1-original,5-full,similar,0,0
5846caf3,2-baseline,5-full,left_better,1,0
5846caf3,2-baseline,4-map-only,similar,0,0
5846caf3,6-full-sonnet,5-full,similar,0,0
5846caf3,2-baseline,1-original,left_better,1,0
b84518b8,1-original,5-full,right_better,0,1
b84518b8,2-baseline,4-map-only,similar,0,0
b84518b8,1-original,6-full-sonnet,right_better,0,1
b84518b8,2-baseline,3-engine-only,similar,0,0
b84518b8,2-baseline,5-full,similar,0,0
b84518b8,6-full-sonnet,5-full,similar,0,0
b84518b8,2-baseline,1-original,left_better,1,0
b84518b8,5-full,3-engine-only,similar,0,0
b84518b8,5-full,4-map-only,similar,0,0
54265082,4-map-only,5-full,similar,0,0
54265082,1-original,5-full,right_better,0,1
54265082,2-baseline,4-map-only,similar,0,0
54265082,6-full-sonnet,5-full,left_better,1,0
54265082,2-baseline,5-full,similar,0,0
54265082,6-full-sonnet,1-original,left_better,1,0
54265082,3-engine-only,2-baseline,right_better,0,1
54265082,3-engine-only,5-full,right_better,0,1
54265082,1-original,2-baseline,right_better,0,1
503397a5,2-baseline,3-engine-only,left_better,1,0
503397a5,2-baseline,4-map-only,similar,0,0
503397a5,1-original,6-full-sonnet,similar,0,0
503397a5,1-original,2-baseline,right_better,0,1
503397a5,1-original,5-full,similar,0,0
503397a5,5-full,6-full-sonnet,similar,0,0
503397a5,4-map-only,5-full,left_better,1,0
503397a5,5-full,3-engine-only,similar,0,0
503397a5,5-full,2-baseline,right_better,0,1
2d1e91f6,2-baseline,1-original,similar,0,0
2d1e91f6,4-map-only,2-baseline,left_better,1,0
2d1e91f6,6-full-sonnet,5-full,similar,0,0
2d1e91f6,3-engine-only,2-baseline,similar,0,0
2d1e91f6,4-map-only,5-full,similar,0,0
2d1e91f6,5-full,2-baseline,left_better,1,0
2d1e91f6,5-full,1-original,left_better,1,0
2d1e91f6,5-full,3-engine-only,left_better,1,0
2d1e91f6,1-original,6-full-sonnet,right_better,0,1
0c7027ed,1-original,2-baseline,similar,0,0
0c7027ed,1-original,6-full-sonnet,right_better,0,1
0c7027ed,5-full,1-original,left_better,1,0
0c7027ed,4-map-only,2-baseline,similar,0,0
0c7027ed,3-engine-only,5-full,similar,0,0
0c7027ed,5-full,6-full-sonnet,similar,0,0
0c7027ed,5-full,2-baseline,left_better,1,0
0c7027ed,4-map-only,5-full,right_better,0,1
0c7027ed,3-engine-only,2-baseline,left_better,1,0
e005bbe5,4-map-only,5-full,similar,0,0
e005bbe5,4-map-only,2-baseline,similar,0,0
e005bbe5,5-full,6-full-sonnet,similar,0,0
e005bbe5,2-baseline,5-full,similar,0,0
e005bbe5,2-baseline,1-original,left_better,1,0
e005bbe5,3-engine-only,5-full,similar,0,0
e005bbe5,6-full-sonnet,1-original,left_better,1,0
e005bbe5,5-full,1-original,left_better,1,0
e005bbe5,3-engine-only,2-baseline,similar,0,0
64c036d1,2-baseline,5-full,left_better,1,0
64c036d1,6-full-sonnet,1-original,similar,0,0
64c036d1,4-map-only,5-full,left_better,1,0
64c036d1,6-full-sonnet,5-full,similar,0,0
64c036d1,1-original,5-full,similar,0,0
64c036d1,3-engine-only,5-full,similar,0,0
64c036d1,2-baseline,4-map-only,right_better,0,1
64c036d1,1-original,2-baseline,right_better,0,1
64c036d1,2-baseline,3-engine-only,left_better,1,0
1d7d2cff,3-engine-only,2-baseline,left_better,1,0
1d7d2cff,1-original,5-full,right_better,0,1
1d7d2cff,5-full,3-engine-only,similar,0,0
1d7d2cff,1-original,6-full-sonnet,right_better,0,1
1d7d2cff,2-baseline,4-map-only,similar,0,0
1d7d2cff,2-baseline,5-full,right_better,0,1
1d7d2cff,4-map-only,5-full,right_better,0,1
1d7d2cff,6-full-sonnet,5-full,right_better,0,1
1d7d2cff,2-baseline,1-original,similar,0,0
11f45eea,2-baseline,3-engine-only,left_better,1,0
11f45eea,1-original,6-full-sonnet,right_better,0,1
11f45eea,5-full,1-original,left_better,1,0
11f45eea,5-full,4-map-only,similar,0,0
11f45eea,5-full,6-full-sonnet,right_better,0,1
11f45eea,4-map-only,2-baseline,similar,0,0
11f45eea,2-baseline,1-original,left_better,1,0
11f45eea,3-engine-only,5-full,left_better,1,0
11f45eea,5-full,2-baseline,right_better,0,1
fc320730,5-full,1-original,left_better,1,0
fc320730,4-map-only,5-full,similar,0,0
fc320730,6-full-sonnet,5-full,similar,0,0
fc320730,2-baseline,3-engine-only,similar,0,0
fc320730,1-original,2-baseline,right_better,0,1
fc320730,4-map-only,2-baseline,similar,0,0
fc320730,5-full,2-baseline,similar,0,0
fc320730,6-full-sonnet,1-original,left_better,1,0
fc320730,3-engine-only,5-full,similar,0,0
4b82a90e,2-baseline,1-original,left_better,1,0
4b82a90e,5-full,4-map-only,right_better,0,1
4b82a90e,1-original,5-full,similar,0,0
4b82a90e,3-engine-only,5-full,similar,0,0
4b82a90e,2-baseline,5-full,left_better,1,0
4b82a90e,4-map-only,2-baseline,left_better,1,0
4b82a90e,5-full,6-full-sonnet,similar,0,0
4b82a90e,1-original,6-full-sonnet,similar,0,0
4b82a90e,3-engine-only,2-baseline,right_better,0,1
91ceeee5,5-full,6-full-sonnet,similar,0,0
91ceeee5,3-engine-only,5-full,right_better,0,1
91ceeee5,5-full,2-baseline,left_better,1,0
91ceeee5,3-engine-only,2-baseline,similar,0,0
