sample,folder,pipeline_id,elapsed_s,api_rounds
001,2-baseline,baseline,144.1,3
001,3-engine-only,engine-only,134.20000000000002,3
001,4-map-only,map-only,341.0,31
001,5-full,full,32.1,3
002,2-baseline,baseline,235.70000000000002,5
002,3-engine-only,engine-only,172.0,4
002,4-map-only,map-only,128.49999999999997,12
002,5-full,full,74.4,10
003,2-baseline,baseline,284.8,5
003,3-engine-only,engine-only,149.99999999999997,15
003,4-map-only,map-only,347.09999999999997,11
003,5-full,full,345.40000000000003,17
004,2-baseline,baseline,156.79999999999998,4
004,3-engine-only,engine-only,143.9,4
004,4-map-only,map-only,381.7,16
004,5-full,full,167.19999999999996,22
005,2-baseline,baseline,160.3,3
005,3-engine-only,engine-only,144.6,5
005,4-map-only,map-only,359.7,8
005,5-full,full,159.20000000000002,12
006,2-baseline,baseline,196.19999999999996,12
006,3-engine-only,engine-only,140.3,6
006,4-map-only,map-only,420.5,32
006,5-full,full,357.30000000000007,11
007,2-baseline,baseline,231.90000000000003,8
007,3-engine-only,engine-only,107.69999999999999,4
007,4-map-only,map-only,119.6,32
007,5-full,full,49.89999999999999,14
008,2-baseline,baseline,106.9,5
008,3-engine-only,engine-only,100.9,3
008,4-map-only,map-only,97.69999999999999,23
008,5-full,full,59.19999999999999,21
009,2-baseline,baseline,192.19999999999996,7
009,3-engine-only,engine-only,154.9,6
009,4-map-only,map-only,217.69999999999996,32
009,5-full,full,110.9,26
010,2-baseline,baseline,102.39999999999999,3
010,3-engine-only,engine-only,99.8,3
010,4-map-only,map-only,72.30000000000001,23
010,5-full,full,19.1,4
011,2-baseline,baseline,358.29999999999995,7
011,3-engine-only,engine-only,124.9,4
011,4-map-only,map-only,107.1,23
011,5-full,full,198.2,32
012,2-baseline,baseline,124.4,3
012,3-engine-only,engine-only,100.4,3
012,4-map-only,map-only,55.699999999999996,9
012,5-full,full,26.799999999999997,8
013,2-baseline,baseline,363.6000000000001,7
013,3-engine-only,engine-only,323.40000000000003,4
013,4-map-only,map-only,102.9,32
013,5-full,full,79.80000000000001,31
014,2-baseline,baseline,380.3,4
014,3-engine-only,engine-only,368.70000000000005,4
014,4-map-only,map-only,200.8,30
014,5-full,full,110.89999999999999,12
015,2-baseline,baseline,310.70000000000005,32
015,3-engine-only,engine-only,233.5,3
015,4-map-only,map-only,326.0,32
015,5-full,full,58.09999999999999,21
016,2-baseline,baseline,635.1000000000001,3
016,3-engine-only,engine-only,225.9,3
016,4-map-only,map-only,180.69999999999996,32
016,5-full,full,30.299999999999997,8
017,2-baseline,baseline,224.70000000000002,4
017,3-engine-only,engine-only,230.29999999999998,3
017,4-map-only,map-only,148.2,32
017,5-full,full,35.0,15
018,2-baseline,baseline,308.19999999999993,8
018,3-engine-only,engine-only,232.99999999999997,5
018,4-map-only,map-only,366.5,32
018,5-full,full,78.59999999999998,32
019,2-baseline,baseline,148.8,3
019,3-engine-only,engine-only,151.89999999999998,4
019,4-map-only,map-only,50.7,7
019,5-full,full,42.0,7
020,2-baseline,baseline,171.89999999999998,3
020,3-engine-only,engine-only,145.2,2
020,4-map-only,map-only,81.50000000000001,18
020,5-full,full,46.6,9
021,2-baseline,baseline,375.90000000000003,6
021,3-engine-only,engine-only,213.1,25
021,4-map-only,map-only,262.3,32
021,5-full,full,128.7,32
022,2-baseline,baseline,40.5,3
022,3-engine-only,engine-only,32.1,3
022,4-map-only,map-only,23.6,11
022,5-full,full,12.7,5
023,2-baseline,baseline,71.8,3
023,3-engine-only,engine-only,40.2,3
023,4-map-only,map-only,68.9,17
023,5-full,full,46.70000000000001,11
024,2-baseline,baseline,77.4,4
024,3-engine-only,engine-only,39.0,3
024,4-map-only,map-only,157.5,32
024,5-full,full,32.8,11
025,2-baseline,baseline,91.7,7
025,3-engine-only,engine-only,55.7,3
025,4-map-only,map-only,255.29999999999995,28
025,5-full,full,71.1,12
026,2-baseline,baseline,146.20000000000002,6
026,3-engine-only,engine-only,42.0,3
026,4-map-only,map-only,50.099999999999994,23
026,5-full,full,49.600000000000016,31
027,2-baseline,baseline,91.8,5
027,3-engine-only,engine-only,43.699999999999996,4
027,4-map-only,map-only,109.59999999999998,32
027,5-full,full,84.00000000000001,28
028,2-baseline,baseline,174.8,3
028,3-engine-only,engine-only,166.2,3
028,4-map-only,map-only,162.79999999999998,32
028,5-full,full,51.3,9
029,2-baseline,baseline,169.0,3
029,3-engine-only,engine-only,127.3,3
029,4-map-only,map-only,76.9,10
029,5-full,full,23.3,4
030,2-baseline,baseline,137.70000000000002,3
030,3-engine-only,engine-only,130.8,5
030,4-map-only,map-only,120.9,31
030,5-full,full,44.800000000000004,16
031,2-baseline,baseline,151.4,3
031,3-engine-only,engine-only,143.60000000000002,3
031,4-map-only,map-only,65.1,11
031,5-full,full,51.0,8
032,2-baseline,baseline,65.89999999999999,3
032,3-engine-only,engine-only,25.5,3
032,4-map-only,map-only,191.2,18
032,5-full,full,15.200000000000001,5
033,2-baseline,baseline,40.5,6
033,3-engine-only,engine-only,27.7,3
033,4-map-only,map-only,26.6,10
033,5-full,full,17.799999999999997,5
034,2-baseline,baseline,45.8,3
034,3-engine-only,engine-only,34.0,4
034,4-map-only,map-only,84.30000000000003,32
034,5-full,full,86.9,32
035,2-baseline,baseline,31.8,3
035,3-engine-only,engine-only,25.8,3
035,4-map-only,map-only,18.9,8
035,5-full,full,19.8,9
036,2-baseline,baseline,144.6,4
036,3-engine-only,engine-only,30.799999999999997,4
036,4-map-only,map-only,511.9,23
036,5-full,full,28.8,9
037,2-baseline,baseline,64.4,3
037,3-engine-only,engine-only,36.2,3
037,4-map-only,map-only,58.599999999999994,10
037,5-full,full,24.3,7
038,2-baseline,baseline,152.60000000000002,6
038,3-engine-only,engine-only,37.599999999999994,3
038,4-map-only,map-only,141.1,14
038,5-full,full,17.4,3
039,2-baseline,baseline,32.4,3
039,3-engine-only,engine-only,34.1,3
039,4-map-only,map-only,15.4,4
039,5-full,full,11.100000000000001,3
040,2-baseline,baseline,78.2,3
040,3-engine-only,engine-only,64.80000000000001,3
040,4-map-only,map-only,67.5,9
040,5-full,full,57.5,12
041,2-baseline,baseline,23.900000000000002,3
041,3-engine-only,engine-only,18.8,3
041,4-map-only,map-only,13.7,7
041,5-full,full,7.699999999999999,3
042,2-baseline,baseline,105.39999999999999,4
042,3-engine-only,engine-only,29.6,5
042,4-map-only,map-only,72.89999999999999,32
042,5-full,full,26.299999999999997,11
043,2-baseline,baseline,212.50000000000006,19
043,3-engine-only,engine-only,127.9,4
043,4-map-only,map-only,104.69999999999999,32
043,5-full,full,52.40000000000001,27
044,2-baseline,baseline,427.6,13
044,3-engine-only,engine-only,122.0,3
044,4-map-only,map-only,62.800000000000004,14
044,5-full,full,50.7,16
045,2-baseline,baseline,115.3,3
045,3-engine-only,engine-only,117.6,3
045,4-map-only,map-only,48.6,12
045,5-full,full,31.900000000000002,9
046,2-baseline,baseline,148.29999999999998,4
046,3-engine-only,engine-only,166.2,9
046,4-map-only,map-only,40.199999999999996,4
046,5-full,full,36.60000000000001,8
047,2-baseline,baseline,235.40000000000003,8
047,3-engine-only,engine-only,160.70000000000002,4
047,4-map-only,map-only,184.29999999999998,27
047,5-full,full,90.30000000000001,32
048,2-baseline,baseline,171.0,6
048,3-engine-only,engine-only,174.2,8
048,4-map-only,map-only,150.1,32
048,5-full,full,114.60000000000002,32
049,2-baseline,baseline,282.3,5
049,3-engine-only,engine-only,189.00000000000006,12
049,4-map-only,map-only,173.0,32
049,5-full,full,53.800000000000004,10
050,2-baseline,baseline,76.8,3
050,3-engine-only,engine-only,22.1,3
050,4-map-only,map-only,105.10000000000002,16
050,5-full,full,31.700000000000003,12
051,2-baseline,baseline,29.5,3
051,3-engine-only,engine-only,23.0,3
051,4-map-only,map-only,18.8,6
051,5-full,full,14.5,4
052,2-baseline,baseline,23.599999999999998,3
052,3-engine-only,engine-only,22.099999999999998,3
052,4-map-only,map-only,26.8,10
052,5-full,full,18.1,5
053,2-baseline,baseline,93.7,4
053,3-engine-only,engine-only,65.9,3
053,4-map-only,map-only,49.9,15
053,5-full,full,37.400000000000006,7
054,2-baseline,baseline,76.1,4
054,3-engine-only,engine-only,68.19999999999999,3
054,4-map-only,map-only,51.800000000000004,8
054,5-full,full,25.3,4
055,2-baseline,baseline,72.1,3
055,3-engine-only,engine-only,69.60000000000001,3
055,4-map-only,map-only,41.599999999999994,8
055,5-full,full,30.599999999999998,6
056,2-baseline,baseline,69.1,3
056,3-engine-only,engine-only,75.10000000000001,5
056,4-map-only,map-only,63.599999999999994,13
056,5-full,full,50.19999999999999,12
057,2-baseline,baseline,64.4,3
057,3-engine-only,engine-only,66.3,3
057,4-map-only,map-only,36.800000000000004,7
057,5-full,full,26.799999999999997,4
058,2-baseline,baseline,34.4,3
058,3-engine-only,engine-only,33.3,3
058,4-map-only,map-only,24.5,8
058,5-full,full,11.2,4
059,2-baseline,baseline,49.800000000000004,3
059,3-engine-only,engine-only,43.7,4
059,4-map-only,map-only,115.8,27
059,5-full,full,42.7,14
060,2-baseline,baseline,51.4,4
060,3-engine-only,engine-only,42.49999999999999,4
060,4-map-only,map-only,46.5,11
060,5-full,full,104.3,18
061,2-baseline,baseline,185.4,6
061,3-engine-only,engine-only,39.3,4
061,4-map-only,map-only,75.7,26
061,5-full,full,44.50000000000001,11
062,2-baseline,baseline,79.9,3
062,3-engine-only,engine-only,70.19999999999999,3
062,4-map-only,map-only,40.599999999999994,4
062,5-full,full,38.4,4
063,2-baseline,baseline,123.0,14
063,3-engine-only,engine-only,82.4,6
063,4-map-only,map-only,145.39999999999995,32
063,5-full,full,69.3,11
064,2-baseline,baseline,262.6,23
064,3-engine-only,engine-only,85.0,4
064,4-map-only,map-only,167.79999999999998,32
064,5-full,full,142.8,13
065,2-baseline,baseline,138.9,3
065,3-engine-only,engine-only,83.29999999999998,4
065,4-map-only,map-only,87.0,12
065,5-full,full,85.99999999999999,13
066,2-baseline,baseline,56.9,3
066,3-engine-only,engine-only,24.7,7
066,4-map-only,map-only,46.3,9
066,5-full,full,86.19999999999999,27
067,2-baseline,baseline,25.299999999999997,3
067,3-engine-only,engine-only,23.1,5
067,4-map-only,map-only,24.2,11
067,5-full,full,20.5,11
068,2-baseline,baseline,8.1,3
068,3-engine-only,engine-only,6.999999999999999,3
068,4-map-only,map-only,6.7,5
068,5-full,full,5.0,3
