sample,pipeline,original_total_calls,original_successful,original_failed,original_skipped_empty,replay_successful,replay_failed,successful_delta,comparison
our-2/001,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/001,4-map-only,2,1,1,0,0,2,-1,all_lost
our-2/002,2-baseline,9,6,3,1,7,3,1,replay_more
our-2/002,4-map-only,4,2,2,0,2,2,0,match
our-2/003,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/003,4-map-only,8,4,4,0,1,7,-3,partial_loss
our-2/004,2-baseline,3,3,0,0,2,1,-1,partial_loss
our-2/004,4-map-only,5,4,1,0,4,1,0,match
our-2/005,2-baseline,4,1,3,0,1,3,0,match
our-2/005,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/006,2-baseline,1,1,0,0,1,0,0,match
our-2/006,4-map-only,2,1,1,0,1,1,0,match
our-2/007,2-baseline,2,2,0,0,1,1,-1,partial_loss
our-2/007,4-map-only,1,1,0,0,1,0,0,match
our-2/008,2-baseline,2,2,0,0,1,1,-1,partial_loss
our-2/008,4-map-only,2,2,0,0,2,0,0,match
our-2/009,2-baseline,2,2,0,0,2,0,0,match
our-2/009,4-map-only,2,2,0,0,0,2,-2,all_lost
our-2/010,2-baseline,2,2,0,0,1,1,-1,partial_loss
our-2/010,4-map-only,2,2,0,0,0,2,-2,all_lost
our-2/011,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/011,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/012,2-baseline,1,1,0,0,1,0,0,match
our-2/012,4-map-only,3,1,2,0,1,2,0,match
our-2/013,2-baseline,1,1,0,0,1,0,0,match
our-2/013,4-map-only,1,1,0,0,1,0,0,match
our-2/014,2-baseline,2,2,0,0,2,0,0,match
our-2/014,4-map-only,1,1,0,0,1,0,0,match
our-2/015,2-baseline,4,3,1,0,0,4,-3,all_lost
our-2/015,4-map-only,7,5,2,0,0,7,-5,all_lost
our-2/016,2-baseline,4,4,0,0,0,4,-4,all_lost
our-2/016,4-map-only,5,4,1,0,0,5,-4,all_lost
our-2/017,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/017,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/018,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/018,4-map-only,1,1,0,0,1,0,0,match
our-2/019,2-baseline,1,1,0,0,1,0,0,match
our-2/019,4-map-only,4,4,0,0,3,1,-1,partial_loss
our-2/020,2-baseline,6,6,0,0,0,6,-6,all_lost
our-2/020,4-map-only,1,1,0,0,1,0,0,match
our-2/021,2-baseline,14,13,1,0,7,7,-6,partial_loss
our-2/021,4-map-only,2,1,1,0,0,2,-1,all_lost
our-2/022,2-baseline,1,1,0,0,1,0,0,match
our-2/022,4-map-only,1,1,0,0,1,0,0,match
our-2/023,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/023,4-map-only,2,1,1,0,0,2,-1,all_lost
our-2/024,2-baseline,2,1,1,0,0,2,-1,all_lost
our-2/024,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/025,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/025,4-map-only,1,1,0,0,1,0,0,match
our-2/026,2-baseline,2,1,1,0,1,1,0,match
our-2/026,4-map-only,3,3,0,0,3,0,0,match
our-2/027,2-baseline,10,10,0,0,0,10,-10,all_lost
our-2/027,4-map-only,1,1,0,0,1,0,0,match
our-2/028,2-baseline,1,1,0,0,1,0,0,match
our-2/028,4-map-only,1,1,0,0,1,0,0,match
our-2/029,2-baseline,3,2,1,0,2,1,0,match
our-2/029,4-map-only,4,4,0,0,4,0,0,match
our-2/030,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/030,4-map-only,2,1,1,0,0,2,-1,all_lost
our-2/031,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/031,4-map-only,2,1,1,0,0,2,-1,all_lost
our-2/032,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/032,4-map-only,10,10,0,0,0,10,-10,all_lost
our-2/033,2-baseline,7,2,5,0,0,7,-2,all_lost
our-2/033,4-map-only,1,1,0,0,1,0,0,match
our-2/034,2-baseline,3,3,0,0,2,1,-1,partial_loss
our-2/034,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/035,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/035,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/036,2-baseline,30,5,25,0,1,29,-4,partial_loss
our-2/036,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/037,2-baseline,9,8,1,0,7,2,-1,partial_loss
our-2/037,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/038,2-baseline,1,1,0,0,1,0,0,match
our-2/038,4-map-only,1,1,0,0,0,1,-1,all_lost
our-2/039,2-baseline,1,1,0,0,0,1,-1,all_lost
our-2/039,4-map-only,3,3,0,0,0,3,-3,all_lost
our-2/040,2-baseline,1,1,0,0,1,0,0,match
our-2/040,4-map-only,1,1,0,0,1,0,0,match
our-2/041,2-baseline,1,1,0,0,1,0,0,match
our-2/041,4-map-only,1,1,0,0,1,0,0,match
our-2/042,2-baseline,1,1,0,0,1,0,0,match
our-2/042,4-map-only,1,1,0,0,1,0,0,match
